
1,iPhone 13,1,Iran,tehran,,The latest iPhone with advanced features and powerful performance,new,1
2,Dell XPS 15,2,Iran,kerman,,Powerful laptop for professionals and gamers,used,2
3,Samsung Galaxy Tab S7,3,Iran,isfahan,,High-performance tablet with stunning display,new,3
4,Bose QuietComfort 45,4,Iran,karaj,,Wireless noise-canceling headphones for immersive audio experience,used,4
5,Apple AirPods Pro,5,Iran,babol,,Wireless earbuds with active noise cancellation and immersive sound,new,5
6,Modern Sectional Sofa,8,Iran,amol,,Stylish and comfortable sectional sofa for modern living rooms,new,6
7,Solid Wood Dining Table,9,Iran,shiraz,,Handcrafted dining table made from solid wood,new,7
8,Ergonomic Office Chair,10,Iran,NY,,Ergonomic chair with lumbar support for long hours of comfortable sitting,used,8
9,Google Pixel 6,1,Iran,marakzi,,Google's flagship smartphone with top-notch camera and AI capabilities,used,9
10,HP Pavilion Gaming Laptop,2,Iran,semnan,,Affordable gaming laptop with powerful specs,used,10
